commit,parent_commit,timestamp,status,hypothesis,prediction,config_diff,primary_metric,delta_vs_parent,verdict_allocator,verdict_gate,p_value,ci_low,ci_high,stability_std,stability_min,metadata_path,override_reason,note,error
eece142b,,2026-06-12T02:10:26+00:00,success,Baseline run of the initial configuration,Baseline run,,0.00231953030769,,within_noise,within_noise,0.747988435102,-0.00696286521316,0.011770450115,0.0175262061154,-0.029443940058,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260612T020446622978Z/metadata.json,,,
462a8a90,eece142b,2026-06-12T02:24:47+00:00,success,Wider ranker leaves let LightGBM capture cross-sectional feature interactions the 31-leaf default misses,primary up modestly; stability_std may rise,ranker.num_leaves: 31 -> 63,0.00304322089036,0.000723690582668,within_noise,within_noise,0.485076174732,-0.00127330441433,0.00285614567615,0.0185998335313,-0.0277462507364,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260612T022028545889Z/metadata.json,,,
0796a230,eece142b,2026-06-12T02:30:40+00:00,success,"Looser gate (0.25 -> 0.18) admits more candidates so the ranker has a deeper pool to order, improving top-k selection",primary up; gate verdict may weaken,classifier.gate_threshold: 0.25 -> 0.18,0.00321811965246,0.000898589344768,within_noise,within_noise,0.671301333467,-0.00715392488049,0.00984838219709,0.0113086258091,-0.0134390256865,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260612T022449922537Z/metadata.json,,,
a3e2ae2d,eece142b,2026-06-12T02:35:54+00:00,success,"Signal features (breakout/pullback setups) carry setup-quality information the windowed features don't, helping the ranker order candidates",primary up; possible noise from sparse binary signals,model_features.ranker.include_signals: false -> true,0.0022221949514,-9.73353562885e-05,within_noise,within_noise,0.88969756369,-0.00209145445323,0.00212607236226,0.0178450682011,-0.0298271200837,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260612T023043649579Z/metadata.json,,,
531af5d6,0796a230,2026-06-12T02:42:32+00:00,success,"If looser gating helps by deepening the ranker's candidate pool, pushing the gate from 0.18 to 0.12 should continue the trend",primary up vs 0796a230 if the mechanism is real; flat/down if 0.18 already captured the benefit,classifier.gate_threshold: 0.18 -> 0.12,-0.00046804910789,-0.00368616876035,within_noise,significant_regression,0.196996394961,-0.00884584323339,0.00170013513955,0.0101046058106,-0.014917064598,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260612T023627759330Z/metadata.json,,,
d5f67e72,0796a230,2026-06-12T02:46:39+00:00,success,"Looser gate and wider ranker leaves act through independent mechanisms (pool depth vs model capacity), so their positive trends should be additive",primary above both single-knob runs; failure indicates interaction,ranker.num_leaves: 31 -> 63,0.0023440869462,-0.00087403270626,within_noise,within_noise,0.64478728356,-0.00444901434911,0.00262210109472,0.00898188537257,-0.0122504624506,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260612T024235337527Z/metadata.json,,,
ba9393e5,eece142b,2026-06-12T02:49:54+00:00,success,Subsampling features per tree (feature_fraction 0.8) decorrelates trees and reduces ranker overfit to redundant window features,primary up slightly; stability_std down,ranker.feature_fraction: 1 -> 0.8,0.0029834588427,0.000663928535016,within_noise,within_noise,0.560869372056,-0.00139460073877,0.00287531970655,0.0186070942069,-0.0273011339387,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260612T024642187117Z/metadata.json,,,
be47cbeb,eece142b,2026-06-12T02:53:52+00:00,success,Cross-sectional return ranks give the ranker direct relative-ordering information that absolute return windows lack,primary up; this is the dimension most aligned with the ranking objective,"model_features.ranker.cs_return_windows: [] -> [5, 10]",0.00257775873113,0.000258228423438,within_noise,within_noise,0.821387448019,-0.00193805195201,0.00253697533431,0.0169019921211,-0.0257669808449,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260612T025028418757Z/metadata.json,,,
21e23553,eece142b,2026-06-12T02:57:03+00:00,success,Stronger Stage 1 regularization (C 1.0 -> 0.1) yields better-calibrated gate probabilities and a cleaner candidate pool,primary up slightly; gate verdict improves,classifier.c_value: 1.0 -> 0.1,0.00214127188378,-0.000178258423906,within_noise,within_noise,0.931985444816,-0.00267677318464,0.00278032396687,0.0189333697459,-0.0263919989482,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260612T025355348201Z/metadata.json,,,
cd90d250,eece142b,2026-06-12T03:00:40+00:00,success,"Slower ranker learning (lr 0.05 -> 0.02, trees 200 -> 500) reduces variance from greedy early splits at similar total capacity",primary up; stability_std down,ranker.learning_rate: 0.05 -> 0.02; ranker.n_estimators: 200 -> 500,0.0024899470498,0.000170416742108,within_noise,within_noise,0.782562880408,-0.00184271048278,0.00219559313212,0.0181355405326,-0.0269719178572,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260612T025706303306Z/metadata.json,,,
0eac132a,eece142b,2026-06-12T03:04:49+00:00,success,"If the gate response is smooth, 0.21 should land between baseline (0.25) and the best run (0.18) in both primary and dispersion",primary between +0 and +0.0009 vs baseline; stab_std between 0.011 and 0.018,classifier.gate_threshold: 0.25 -> 0.21,0.00493774696315,0.00261821665546,within_noise,within_noise,0.554557934298,-0.00448183702243,0.00774015985172,0.00958112701671,-0.00964420911767,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260612T030122897958Z/metadata.json,,,
