commit,parent_commit,timestamp,status,hypothesis,prediction,config_diff,primary_metric,delta_vs_parent,verdict_allocator,allocator_p_value,allocator_ci_low,allocator_ci_high,classifier_primary_metric,classifier_delta_vs_parent,verdict_gate,gate_p_value,gate_ci_low,gate_ci_high,verdict_gate_return,stability_std,stability_min,metadata_path,override_reason,note,error
7a59524e,,2026-06-18T22:40:05+00:00,success,Baseline run of the initial configuration,Baseline run,,-0.00119997771857,,within_noise,0.289664334057,-0.00341318710612,0.000998096913875,0.00252604441317,,within_noise,0.998656904375,-0.000440733695178,0.000448366126606,within_noise,0.00753285437975,-0.019006426822,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260618T223753320629Z/metadata.json,,,
eefaabac,7a59524e,2026-06-18T22:52:54+00:00,success,"A stricter probability gate selects higher-conviction rows, raising survivor hit rate relative to the unfiltered pool","gate hit-rate lift up vs baseline, survivor count down, return guardrail non-negative",classifier.gate_threshold: 0.21 -> 0.25,1.48788896183e-05,0.00121485660819,within_noise,0.182021919101,-0.000554504748457,0.00307230241196,0.00255292499059,2.6880577416e-05,within_noise,0.206708627577,-6.68800733583e-05,0.000700953056492,within_noise,0.00845270401404,-0.0188563359883,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260618T225049337610Z/metadata.json,,,
bdf40c5e,7a59524e,2026-06-18T22:54:55+00:00,success,"Technical features are noisy; stronger L2 regularization (lower C) yields better-calibrated, more generalizable gate probabilities and a cleaner hit-rate lift","gate hit-rate lift up modestly, calibration (Brier/log loss) improves",classifier.c_value: 1.0 -> 0.3,-8.41027064366e-05,0.00111587501213,within_noise,0.177860911762,-0.000517714581985,0.00271767634805,0.00252989777954,3.8533663706e-06,within_noise,0.420621571567,-6.88953626526e-06,1.70056185243e-05,within_noise,0.00732307664155,-0.017137796893,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260618T225257277156Z/metadata.json,,,
ea691542,7a59524e,2026-06-18T22:56:52+00:00,success,"Conversely, the baseline may be over-regularized; weaker regularization (higher C) lets the gate exploit more feature structure",gate hit-rate lift moves; calibration may worsen — brackets the regularization gradient against the lower-C probe,classifier.c_value: 1.0 -> 3.0,-0.00116220682807,3.77708905023e-05,within_noise,0.939854185173,-0.00182644789437,0.00187002862395,0.00252481523056,-1.22918261258e-06,within_noise,0.316982572695,-5.79782299725e-06,0,within_noise,0.00835505738165,-0.0265049953093,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260618T225458087448Z/metadata.json,,,
546fb9a5,7a59524e,2026-06-18T23:00:39+00:00,success,"At threshold 0.25 the gate still passes 99.7% of rows; pushing to 0.40 forces it into the region where survival actually drops, so if the classifier has any real rank skill the hit-rate lift should rise as the gate becomes selective","survival rate drops meaningfully (well below 99%), hit-rate lift rises, return guardrail watched for the proxy-win failure mode",classifier.gate_threshold: 0.21 -> 0.4,-0.000428904118952,0.000771073599619,within_noise,0.312488357962,-0.000788961833006,0.00267593418515,0.00387908526997,0.0013530408568,within_noise,0.477854797672,-0.000848276787216,0.00195336294021,within_noise,0.00770588160436,-0.0185170976526,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260618T225840748007Z/metadata.json,,,
76189a1e,7a59524e,2026-06-18T23:02:30+00:00,success,Threshold 0.48 sits near the predicted-probability mass (base rate ~0.476); it should bite hard and reveal whether the top-conviction tail carries genuine lift or just shrinks the survivor pool to noise,"survival rate drops sharply, hit-rate lift moves more than at 0.40; brackets the operating-point knee with the 0.40 probe",classifier.gate_threshold: 0.21 -> 0.48,-0.000993832704625,0.000206145013946,within_noise,0.75254039673,-0.00144481066544,0.00224453934047,0.0104611947027,0.00793515028957,significant_improvement,0.0294173709148,0.0007071302476,0.0120485773651,within_noise,0.00699089077293,-0.0134060925108,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260618T230042579314Z/metadata.json,,,
b6325602,7a59524e,2026-06-18T23:04:33+00:00,success,"Continuing batch 1's weak lead that stronger L2 regularization helps; C=0.1 shrinks coefficients further toward base rate, testing whether tighter, better-calibrated probabilities improve the lift","hit-rate lift up vs baseline along the same direction as C=0.3, calibration (Brier/log loss) improves further",classifier.c_value: 1.0 -> 0.1,-0.000168434768702,0.00103154294987,within_noise,0.29068566472,-0.000879272936158,0.00288229481494,0.00252950375876,3.45934559182e-06,within_noise,0.416754057259,-0.000618467310175,9.83393069369e-05,within_noise,0.00820380071992,-0.0164606740071,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260618T230233105084Z/metadata.json,,,
8df3ca2c,76189a1e,2026-06-18T23:08:22+00:00,success,The hit-rate lift rose monotonically through 0.48; pushing the gate to 0.52 tests whether the top-conviction tail keeps adding lift past the winner,"hit-rate lift rises further vs 0.48, survival drops below 54% and survival.std rises further (more sensitive operating point)",classifier.gate_threshold: 0.48 -> 0.52,-0.00120148966905,-0.000207656964421,within_noise,0.733292698668,-0.00222608411605,0.00166321603003,0.0139385967904,0.00347740208763,within_noise,0.300120163836,-0.0119249403764,0.00390005099742,within_noise,0.00819267850019,-0.0155747437812,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260618T230629050583Z/metadata.json,,,
7c1df914,76189a1e,2026-06-18T23:12:05+00:00,success,0.48 sits on the probability mass where survival.std exploded to 0.17; backing off to 0.45 may retain most of the lift while keeping the surviving fraction steadier across folds,"hit-rate lift slightly below 0.48 but still well above baseline, survival.std lower than at 0.48",classifier.gate_threshold: 0.48 -> 0.45,-0.000650797166542,0.000343035538083,within_noise,0.635002475176,-0.00132175295283,0.00204052923198,0.00603163630401,-0.00442955839873,significant_regression,0.0429250799369,-0.00884865882775,-0.000220355900534,within_noise,0.00941704464039,-0.0187075788032,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260618T230825233471Z/metadata.json,,,
b40d405e,76189a1e,2026-06-18T23:14:00+00:00,success,"The lift is limited by the classifier's near-random discrimination (AUC 0.51); adding a short 5-bar cross-sectional return feature gives the gate a classic short-horizon reversal signal, which at the biting threshold should raise hit-rate lift","ROC AUC up modestly, hit-rate lift above the 0.48 winner; isolates whether features (not threshold) can extend the gain","model_features.classifier.cs_return_windows: [10, 20] -> [5, 10, 20]",-0.00124543058473,-0.000251597880108,within_noise,0.813542334743,-0.00158424861388,0.00117711217158,0.0109520545794,0.000490859876664,within_noise,0.613406550139,-0.00162811376964,0.00281656761366,within_noise,0.00657213660404,-0.0127759104099,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260618T231208354276Z/metadata.json,,,
