commit,parent_commit,timestamp,status,hypothesis,prediction,config_diff,primary_metric,delta_vs_parent,verdict_allocator,allocator_p_value,allocator_ci_low,allocator_ci_high,verdict_ndcg,classifier_primary_metric,classifier_delta_vs_parent,verdict_gate,gate_p_value,gate_ci_low,gate_ci_high,verdict_gate_return,stability_std,stability_min,metadata_path,override_reason,note,error
50c19a21,,2026-06-23T21:08:20+00:00,success,Baseline run of the initial configuration,Baseline run,,0.00265286049552,,significant_improvement,0.0201575905214,0.000744125630791,0.00463239188373,significant_improvement,0.0454843971929,,significant_improvement,6.97747780587e-05,0.0131734641446,0.0363085379387,within_noise,0.00932883634841,-0.00238769524987,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T210654548397Z/metadata.json,,,
ea58a42e,50c19a21,2026-06-23T21:36:11+00:00,success,Volatility windows are a noise family for the ranker; dropping them reduces basket variance without losing rank signal,"ranker top-k net return up or flat, stab_std down, IC roughly unchanged","model_features.ranker.volatility_windows: [5, 10, 20] -> []",0.00267409107893,2.12305834044e-05,within_noise,0.920637467715,-0.000178475730167,0.000202509122959,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.0092595308785,-0.00226712234407,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T213452645085Z/metadata.json,,,
5b0c29a3,50c19a21,2026-06-23T21:37:30+00:00,success,Runup windows are redundant momentum noise for the ranker; pruning them tightens the traded basket,"ranker top-k net return up or flat, stab_std down","model_features.ranker.runup_windows: [1, 3, 10] -> []",0.00259815523531,-5.47052602181e-05,within_noise,0.511461919887,-0.000252867428025,0.000123608209108,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00923294777684,-0.00195507385771,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T213613840262Z/metadata.json,,,
09431b1e,50c19a21,2026-06-23T21:38:49+00:00,success,Adding a short cross-sectional return window (5) gives the ranker the same short-horizon return driver that lifted the classifier,"ranker top-k net return up, IC up","model_features.ranker.cs_return_windows: [10, 20] -> [5, 10, 20]",0.00273239914532,7.95386497966e-05,within_noise,0.388875564267,-8.51623333431e-05,0.000244426325888,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00929926991577,-0.00196835232735,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T213732724110Z/metadata.json,,,
b1e23dc0,50c19a21,2026-06-23T21:40:57+00:00,success,"Short cross-sectional return windows carry the ranker's edge; dropping the long 20-window and keeping only [5,10] sharpens it","ranker top-k net return up vs both baseline and the [5,10,20] probe","model_features.ranker.cs_return_windows: [10, 20] -> [5, 10]",0.00274401408563,9.11535901075e-05,within_noise,0.294780103154,-8.30673098235e-05,0.000285300884234,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00915789612952,-0.00203781607294,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T213942476437Z/metadata.json,,,
17db4d45,50c19a21,2026-06-23T21:42:12+00:00,success,Overextension windows are a noise family for the ranker; pruning them reduces basket variance,"ranker top-k net return up or flat, stab_std down","model_features.ranker.overextension_windows: [10, 20] -> []",0.00256556394432,-8.72965512075e-05,within_noise,0.203419804374,-0.000238241904279,5.6488677388e-05,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00917133833442,-0.002197550152,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T214059802808Z/metadata.json,,,
8bd18d09,50c19a21,2026-06-23T21:43:31+00:00,success,A short cross-sectional volatility window (5) gives the ranker the cs_volatility return driver that lifted the classifier,"ranker top-k net return up, min drawdown improved","model_features.ranker.cs_volatility_windows: [10, 20] -> [5, 10, 20]",0.0025753792177,-7.74812778287e-05,within_noise,0.269298038312,-0.000236952627692,6.72707408237e-05,significant_regression,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00945250832695,-0.0022459523983,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T214214659792Z/metadata.json,,,
0a38647e,b1e23dc0,2026-06-23T21:45:16+00:00,success,"Stacking the volatility-window prune onto the best cs_return [5,10] config compounds the return lift with variance reduction","ranker top-k net return up vs b1e23dc0, stab_std down","model_features.ranker.volatility_windows: [5, 10, 20] -> []",0.00273592738462,-8.08670101172e-06,within_noise,0.867488339395,-0.000188602643527,0.000165179389143,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00927106265438,-0.00245204402948,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T214400096224Z/metadata.json,,,
f00a14c7,50c19a21,2026-06-23T21:46:37+00:00,success,"An even shorter cross-sectional return set [3,5,10] captures more of the short-horizon driver","ranker top-k net return up vs the [5,10] probe","model_features.ranker.cs_return_windows: [10, 20] -> [3, 5, 10]",0.00274018440447,8.73239089495e-05,within_noise,0.313761435675,-9.46904704776e-05,0.00028206624119,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00917884453994,-0.00218651980185,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T214519227092Z/metadata.json,,,
83f6424d,50c19a21,2026-06-23T21:47:36+00:00,success,Drawdown windows are a noise family for the ranker; pruning them reduces basket variance,"ranker top-k net return up or flat, stab_std down","model_features.ranker.drawdown_windows: [10, 20] -> []",0.00261867125261,-3.41892429133e-05,within_noise,0.689754330265,-0.000226727554599,0.000162187782723,significant_regression,0.0454843971929,0,within_noise,1,0,0,within_noise,0.0093842105118,-0.00236718127016,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T214640107165Z/metadata.json,,,
b8fcea02,b1e23dc0,2026-06-23T21:49:31+00:00,success,Relative-volume windows are a noise family for the ranker; pruning them off the champion reduces basket variance without losing signal,"ranker top-k net return up or flat vs b1e23dc0, stab_std down","model_features.ranker.relative_volume_windows: [20, 50] -> []",0.002562788064,-0.000181226021627,within_noise,0.151941089444,-0.000425137509598,4.94310379622e-05,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.0092303757781,-0.00180248470434,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T214812666460Z/metadata.json,,,
d755622a,b1e23dc0,2026-06-23T21:50:50+00:00,success,Volume-quality windows are a noise family for the ranker; pruning them off the champion tightens the basket,"ranker top-k net return up or flat vs b1e23dc0, stab_std down","model_features.ranker.volume_quality_windows: [10, 20] -> []",0.00279753135295,5.35172673217e-05,within_noise,0.60748765998,-0.000153942736159,0.000255928632906,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00918987322741,-0.00156597032382,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T214933977145Z/metadata.json,,,
a36ee4e0,b1e23dc0,2026-06-23T21:52:09+00:00,success,"Adding a short sector-return window [10,21] gives the ranker the sector context that helped the classifier lineage",ranker top-k net return up vs b1e23dc0,"model_features.ranker.sector_return_windows: [21] -> [10, 21]",0.00268492096059,-5.90931250463e-05,within_noise,0.497696320259,-0.000277561545975,0.000126360844786,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00923365284117,-0.0020763744066,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T215052985843Z/metadata.json,,,
af8231cb,d755622a,2026-06-23T21:54:24+00:00,success,"Cross-sectional volume-quality windows are noise for the ranker, mirroring the own-stock volume_quality win; pruning them off the champion helps","ranker top-k net return up vs d755622a, stab_std down","model_features.ranker.cs_volume_quality_windows: [10, 20] -> []",0.00270290382471,-9.46275282413e-05,within_noise,0.336993990471,-0.000326657190584,0.000102420061353,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00926026971889,-0.00219694283576,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T215307157381Z/metadata.json,,,
