commit,parent_commit,timestamp,status,hypothesis,prediction,config_diff,primary_metric,delta_vs_parent,verdict_allocator,allocator_p_value,allocator_ci_low,allocator_ci_high,verdict_ndcg,classifier_primary_metric,classifier_delta_vs_parent,verdict_gate,gate_p_value,gate_ci_low,gate_ci_high,verdict_gate_guard,stability_std,stability_min,metadata_path,override_reason,note,error
cb4efb7b,,2026-07-04T20:21:28+00:00,success,Baseline run of the initial configuration,Baseline run,,0.0246611159965,,significant_improvement,0.000192917053035,0.0153047135058,0.0604842512861,significant_improvement,0.00870111642613,,significant_improvement,4.39415621412e-14,0.00603285391879,0.0113618699427,significant_improvement,0.0774544731728,-0.0452725218395,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260704T201937885340Z/metadata.json,,,
17bfeeba,cb4efb7b,2026-07-04T20:28:56+00:00,success,A multi-window cross-sectional volatility ladder around the [25] champion captures dispersion at short/medium/long horizons the single window misses,"gate return lift up, hit-rate guard holds, stability may rise slightly","model_features.classifier.cs_volatility_windows: [25] -> [15, 25, 40]",0.0192262979857,-0.00543481801085,significant_regression,0.0283073514643,-0.00491311993242,-0.000418791749904,within_noise,0.00581294263705,-0.00288817378907,significant_regression,0.0259670788393,-0.00282026717717,-0.000418791749904,within_noise,0.0944413178583,-0.0465776955973,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260704T202643244956Z/metadata.json,,,
8bfbd6a8,cb4efb7b,2026-07-04T20:31:07+00:00,success,Enriching cross-sectional context on both axes at once — a wider cs_return ladder plus a two-window relative-volume pair — gives the gate more peer-relative signal than either alone,"gate return lift up, guard holds","model_features.classifier.cs_return_windows: [5, 10] -> [5, 10, 20]; model_features.classifier.relative_volume_windows: [50] -> [20, 50]",0.0268457101634,0.00218459416694,within_noise,0.104700319882,0.000144509283262,0.00164139907676,within_noise,0.00948326815952,0.000782151733395,within_noise,0.104700319882,0.000144509283262,0.00164139907676,within_noise,0.0829202600027,-0.0450307866209,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260704T202859960073Z/metadata.json,,,
40ac8017,cb4efb7b,2026-07-04T20:34:05+00:00,success,Own-stock path features currently empty for the gate — adding a volatility ladder and a drawdown window gives it stock-level risk context absent from cross-sectional views,gate return lift moves; direction unknown (fresh dimension probe),"model_features.classifier.drawdown_windows: [] -> [20]; model_features.classifier.volatility_windows: [] -> [10, 20]",0.029941341836,0.00528022583953,significant_regression,0.0415875091326,-0.00485933591284,-0.000378978102792,within_noise,0.00548034298156,-0.00322077344457,significant_regression,0.0457209683051,-0.00279893048713,-0.000378978102792,within_noise,0.110493006993,-0.0886033801185,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260704T203110156006Z/metadata.json,,,
4664c55c,cb4efb7b,2026-07-04T20:36:57+00:00,success,"Ablation: the wider cs_return ladder [5,10,20] alone (rvol untouched) carried the 8bfbd6a8 lead",gate return lift up vs baseline if cs_return is the driver,"model_features.classifier.cs_return_windows: [5, 10] -> [5, 10, 20]",0.0275704988942,0.00290938289767,within_noise,0.181032376436,-7.79667833102e-06,0.00424441660957,within_noise,0.0108680741276,0.00216695770151,within_noise,0.181032376436,-7.79667833102e-06,0.00424441660957,within_noise,0.0832811388283,-0.0450307866209,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260704T203502919967Z/metadata.json,,,
1f56304a,cb4efb7b,2026-07-04T20:38:48+00:00,success,"Ablation: the two-window relative-volume pair [20,50] alone (cs_return untouched) carried the 8bfbd6a8 lead",gate return lift up vs baseline if rvol pair is the driver,"model_features.classifier.relative_volume_windows: [50] -> [20, 50]",0.0285883019772,0.00392718598075,within_noise,0.0677696668601,0,0.000358788612064,within_noise,0.00906701400534,0.000365897579214,within_noise,0.0677696668601,0,0.000358788612064,within_noise,0.0942963343665,-0.0452725218395,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260704T203659916009Z/metadata.json,,,
87055bce,8bfbd6a8,2026-07-04T20:40:41+00:00,success,Stacking a fresh cross-sectional volume-quality ladder onto the 8bfbd6a8 lead adds an untouched peer-relative axis,gate return lift up beyond 8bfbd6a8; guard holds,"model_features.classifier.cs_volume_quality_windows: [] -> [10, 20]",0.0319613882773,0.00511567811387,significant_regression,2.54458376369e-07,-0.00501333143709,-0.00174047341943,insufficient_data,0.00536433551215,-0.00411893264737,significant_regression,3.97366168391e-05,-0.00372144593004,-0.00100258604186,significant_regression,0.109107791835,-0.0504440429998,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260704T203850814966Z/metadata.json,,,
ffa415ba,4664c55c,2026-07-04T20:43:17+00:00,success,"Extending the winning cs_return ladder with a longer 40-bar horizon adds a slower cross-sectional momentum term the [5,10,20] ladder lacks",gate return lift up beyond 4664c55c; guard holds,"model_features.classifier.cs_return_windows: [5, 10, 20] -> [5, 10, 20, 40]",0.0246923097198,-0.00287818917435,within_noise,0.856653521507,-0.0019142565844,0.00229921292909,within_noise,0.0114322481538,0.000564174026164,within_noise,0.059384750172,4.76529071416e-05,0.00246401670537,within_noise,0.0884063558052,-0.0836948999077,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260704T204124320923Z/metadata.json,,,
00d0fbbe,cb4efb7b,2026-07-04T20:45:08+00:00,success,"A cs_return ladder anchored with a faster 3-bar window [3,5,10,20] captures near-term cross-sectional reversal/continuation better than [5,10,20]",gate return lift up vs baseline; comparable to or better than 4664c55c,"model_features.classifier.cs_return_windows: [5, 10] -> [3, 5, 10, 20]",0.00984214863693,-0.0148189673596,within_noise,0.629451255489,-0.0025088263814,0.00141245904662,within_noise,0.00753724292667,-0.00116387349946,within_noise,0.521109109001,-0.000479877527073,0.00141245904662,within_noise,0.0627092185546,-0.0469131074247,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260704T204319756244Z/metadata.json,,,
19f9d820,cb4efb7b,2026-07-04T20:46:59+00:00,success,"A multi-horizon sector-return ladder [10,21,63] gives the gate slow/medium/fast sector-relative context vs the single [21] window","gate return lift moves; fresh-dimension probe, direction uncertain","model_features.classifier.sector_return_windows: [21] -> [10, 21, 63]",0.00703291749873,-0.0176281984978,significant_regression,0.000696686362577,-0.00849147770969,-0.00139726593247,within_noise,0.00401702128905,-0.00468409513708,significant_regression,0.015587214526,-0.00750453298493,-0.000316717164736,significant_regression,0.0660975288385,-0.0498284536355,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260704T204510804103Z/metadata.json,,,
