commit,parent_commit,timestamp,status,hypothesis,prediction,config_diff,primary_metric,delta_vs_parent,verdict_allocator,allocator_p_value,allocator_ci_low,allocator_ci_high,classifier_primary_metric,classifier_delta_vs_parent,verdict_gate,gate_p_value,gate_ci_low,gate_ci_high,verdict_gate_return,stability_std,stability_min,metadata_path,override_reason,note,error
f184ee8a,,2026-06-13T16:02:33+00:00,success,Baseline run of the initial configuration,Baseline run,,0.00143943451744,,within_noise,0.461187585076,-0.00234803224931,0.00547063908203,0.0246568812716,,significant_improvement,2.05043533902e-11,0.0108327169199,0.0200553119801,within_noise,0.0108319228346,-0.0205021405492,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260613T154823887270Z/metadata.json,,,0f3f10be,f184ee8a,2026-06-14T04:52:13+00:00,success,Default num_leaves=31 over-fits the noisy cross-section; shallower trees should generalize better out-of-sample,"ranker top-k return up, stab_std down (less fold-driven variance)",ranker.num_leaves: 31 -> 15,0.00146618539485,2.67508774189e-05,within_noise,0.90705720402,-0.00192752487568,0.00208560398563,0.0246568812716,0,within_noise,1,0,0,within_noise,0.0140067614314,-0.040362371649,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260614T044151143003Z/metadata.json,,,
40911d1e,f184ee8a,2026-06-14T05:02:18+00:00,success,Leaves with only 20 rows split on noise; requiring more support per leaf yields more robust ranking splits,"ranker top-k return up, stab_std down",ranker.min_data_in_leaf: 20 -> 50,0.00255541924027,0.00111598472284,within_noise,0.191597438116,-0.000438981275667,0.00271663888694,0.0246568812716,0,within_noise,1,0,0,within_noise,0.0112923366763,-0.0202933512359,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260614T045216597975Z/metadata.json,,,
690a01d6,f184ee8a,2026-06-14T05:15:24+00:00,success,Feature subsampling decorrelates trees and curbs reliance on any single noisy feature,"ranker top-k return up, modest stab_std reduction",ranker.feature_fraction: 1 -> 0.8,0.00271755696923,0.00127812245179,within_noise,0.24421151119,-0.000773995063738,0.00352454591156,0.0246568812716,0,within_noise,1,0,0,within_noise,0.0130218604871,-0.0200782430958,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260614T050221885678Z/metadata.json,,,
2f60b167,690a01d6,2026-06-14T05:26:35+00:00,success,feature_fraction=0.8 and min_data_in_leaf=50 were both within_noise leads in the same regularization direction; stacking them should compound out-of-sample ranking skill,ranker top-k return above either knob alone (>0.00272); delta_vs_parent positive,ranker.min_data_in_leaf: 20 -> 50,0.00334806781347,0.000630510844239,within_noise,0.495437017856,-0.00121335640835,0.00260858266897,0.0246568812716,0,within_noise,1,0,0,within_noise,0.0119384271953,-0.0238965688262,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260614T051633774451Z/metadata.json,,,
022a8719,f184ee8a,2026-06-14T05:36:41+00:00,success,feature_fraction=0.8 was the strongest single lead; more aggressive subsampling may decorrelate trees further on the noisy cross-section,ranker top-k return up vs baseline; maps whether the optimum is more aggressive than 0.8,ranker.feature_fraction: 1 -> 0.6,0.000903095292474,-0.000536339224961,within_noise,0.671896133786,-0.00263844326851,0.00159914806102,0.0246568812716,0,within_noise,1,0,0,within_noise,0.0127963632407,-0.0297655535663,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260614T052638341970Z/metadata.json,,,
4a58540b,f184ee8a,2026-06-14T05:46:54+00:00,success,A slower learning rate (untouched dimension) makes the 200-tree ensemble less greedy and more robust to label noise,ranker top-k return up modestly; stab_std down,ranker.learning_rate: 0.05 -> 0.03,0.00229647621245,0.000857041695014,within_noise,0.328023134125,-0.000935924552758,0.00266611025369,0.0246568812716,0,within_noise,1,0,0,within_noise,0.011352993868,-0.0265141561132,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260614T053644665132Z/metadata.json,,,
86a6d41a,2f60b167,2026-06-14T05:57:52+00:00,success,learning_rate=0.03 was an independent within_noise lead; stacking it onto the ff0.8+mdil50 winner should compound if its robustness is additive to the regularization already in place,ranker top-k return above 0.00335; delta_vs_parent positive,ranker.learning_rate: 0.05 -> 0.03,0.00247183676272,-0.000876231050748,within_noise,0.388130686133,-0.00314441471556,0.00113816886213,0.0246568812716,0,within_noise,1,0,0,within_noise,0.011660846214,-0.0202900881053,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260614T054801568183Z/metadata.json,,,
d61da938,2f60b167,2026-06-14T06:08:10+00:00,success,min_data_in_leaf=50 helped on top of ff0.8; even larger leaf support may further suppress noise-driven splits on the regularized frontier,ranker top-k return up vs parent; maps whether mdil optimum exceeds 50,ranker.min_data_in_leaf: 50 -> 100,0.00227136982568,-0.00107669798778,within_noise,0.260753617813,-0.0029760634436,0.000709751142605,0.0246568812716,0,within_noise,1,0,0,within_noise,0.0139558902316,-0.0221707205204,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260614T055755164220Z/metadata.json,,,
8bd2c99a,f184ee8a,2026-06-14T06:19:23+00:00,success,n_estimators (untouched dimension) at 200 may underfit; more boosting rounds could sharpen rank ordering on the cross-section,ranker top-k return up modestly vs baseline; isolates n_estimators direction,ranker.n_estimators: 200 -> 300,0.0017013695958,0.000261935078362,within_noise,0.618203119253,-0.000817343619595,0.00123982498139,0.0246568812716,0,within_noise,1,0,0,within_noise,0.0110448132172,-0.0191871527505,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260614T060813078733Z/metadata.json,,,
75134151,2f60b167,2026-06-14T06:30:23+00:00,success,"num_leaves=15 was flat on baseline, but the runbook warns a knob may interact differently under another config family; on the ff0.8+mdil50 frontier shallower trees may finally help",ranker top-k return up vs parent if there is a positive interaction; otherwise flat,ranker.num_leaves: 31 -> 15,0.00178208941501,-0.00156597839846,within_noise,0.214092063907,-0.00389693013246,0.000839570619332,0.0246568812716,0,within_noise,1,0,0,within_noise,0.0133122110833,-0.0293580705061,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260614T062046615247Z/metadata.json,,,
